run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
81a74256-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,./cmd_set_test.sh,0,0,fixed,3.847541501,3.880609914,Success,48308.746397481
81a74256-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,./cmd_get_test.sh,1,1,fixed,3.880822285,3.912739288,Success,124678.572367893
81a74256-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,./get_hits_test.sh,2,2,fixed,3.912952367,3.943579395,Success,56654.3445414555
88fb63d4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,./cmd_set_test.sh,0,0,fixed,3.964061867,3.995511743,Success,48251.9917308088
88fb63d4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,./cmd_get_test.sh,1,1,fixed,3.995723603,4.029494662,Success,131659.773541619
88fb63d4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,./get_hits_test.sh,2,2,fixed,4.029696348,4.062554262,Success,57395.6997419995
904db678-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,./get_hits_test.sh,2,0,random,4.083166159,4.113812449,Success,58008.5444060241
904db678-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,./cmd_set_test.sh,0,1,random,4.114045828,4.140718872,Success,48498.5048079307
904db678-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,./cmd_get_test.sh,1,2,random,4.14091199,4.173673681,Success,123347.935357288
97a6f0f6-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,./get_hits_test.sh,2,0,random,4.194834553,4.228611526,Success,55559.3868422092
97a6f0f6-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,./cmd_set_test.sh,0,1,random,4.228977519,4.256700307,Success,48151.2777537006
97a6f0f6-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,./cmd_get_test.sh,1,2,random,4.256904993,4.288516606,Success,128596.655366011
