run_uuid,hostname,run_num,total_runs,order_type,random_seed,time_start,time_stop
81a74256-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,fixed,1634078045.0416694,15784.460362364,15796.704546188
88fb63d4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,fixed,1634078045.0416694,15796.752137196,15808.988062699
904db678-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,2,random,1634078069.7022932,15809.03955155,15821.316940245
97a6f0f6-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,2,random,1634078069.7022932,15821.365697238,15833.601484719
