exp_command,coeff_of_variation,KW_dist_type,Normal_fixed,Normal_random,SW_test_stat_fixed,SW_p-value_fixed,SW_test_stat_random,SW_p-value_random,KW_test_stat,KW_p-value,percent_diff,KW_effect_size,abs_percent_diff,fixed_pth_quantile,fixed_ci_low,fixed_ci_high,random_pth_quantile,random_ci_low,random_ci_high,ci_case,inner_diff
./cmd_set_test.sh,0.036,same,True,True,0.9466850757598877,0.713498592376709,0.9462975263595581,0.7107304334640503,0.8836363636363629,0.34720763934942456,3.097395371578268,0.09818181818181809,3.097395371578268,50104.7232949967,49236.8458403512,52320.2400637347,48208.5174932799,46554.1874896638,52326.5916189888,2,
./cmd_get_test.sh,0.019,same,True,False,0.9490873217582703,0.73066645860672,0.7650769352912903,0.04080408066511154,0.09818181818181415,0.7540225300620795,-0.5927565261761483,0.01090909090909046,0.5927565261761483,126695.810433161,123565.607387019,129449.427972845,126794.029770676,125148.146776712,132965.851575329,2,
./get_hits_test.sh,0.018,same,True,True,0.9369332790374756,0.6443459987640381,0.9532637596130371,0.7604716420173645,0.010909090909095198,0.9168149485280722,0.033937379767243786,0.0012121212121216887,0.033937379767243786,59627.5801158499,57143.3378425951,61561.7075245073,59737.6778078866,58561.6772981672,60301.1949258009,2,
